,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
125,0 days 02:05:40.764000,19.3,56.0,1020.0,False,32.4,208,4.6
126,0 days 02:06:40.781000,19.3,57.0,1019.9,False,32.1,215,4.7
127,0 days 02:07:40.793000,19.3,58.0,1019.9,False,31.9,224,4.4
128,0 days 02:08:40.816000,19.4,57.0,1019.9,False,31.9,228,5.8
129,0 days 02:09:40.821000,19.4,59.0,1020.0,False,32.1,215,4.4
130,0 days 02:10:40.816000,19.4,57.0,1019.9,False,32.1,210,4.2
131,0 days 02:11:40.854000,19.4,57.0,1019.9,False,32.1,219,4.2
132,0 days 02:12:40.831000,19.4,58.0,1020.1,False,32.1,224,5.3
133,0 days 02:13:40.839000,19.5,57.0,1019.8,False,32.1,219,5.2
134,0 days 02:14:40.831000,19.5,56.0,1019.9,False,32.3,213,4.7
135,0 days 02:15:40.833000,19.5,58.0,1019.9,False,32.2,220,5.1
136,0 days 02:16:40.839000,19.6,58.0,1020.0,False,32.0,223,5.3
137,0 days 02:17:40.849000,19.7,57.0,1020.0,False,32.3,229,4.8
138,0 days 02:18:40.822000,19.6,56.0,1020.1,False,32.1,227,5.2
139,0 days 02:19:40.843000,19.6,55.0,1020.0,False,31.8,208,3.9
140,0 days 02:20:40.860000,19.5,56.0,1020.0,False,31.7,199,4.2
141,0 days 02:21:40.882000,19.4,56.0,1020.0,False,31.7,218,4.0
142,0 days 02:22:40.904000,19.3,57.0,1019.9,False,31.8,212,4.1
143,0 days 02:23:40.948000,19.3,55.0,1020.1,False,31.8,213,4.7
144,0 days 02:24:40.919000,19.3,57.0,1019.9,False,31.8,203,4.3
145,0 days 02:25:40.925000,19.3,57.0,1019.9,False,31.8,203,4.3
146,0 days 02:26:40.912000,19.3,57.0,1019.9,False,31.8,203,4.3
147,0 days 02:27:40.936000,19.3,57.0,1019.9,False,31.8,203,4.3
148,0 days 02:28:40.944000,19.3,57.0,1019.9,False,31.8,203,4.3
149,0 days 02:29:40.939000,19.3,57.0,1019.9,False,31.8,203,4.3
150,0 days 02:30:40.913000,19.3,57.0,1019.9,False,31.8,203,4.3
151,0 days 02:31:40.918000,19.5,57.0,1020.0,False,30.8,233,4.5
152,0 days 02:32:40.913000,19.3,58.0,1020.0,False,30.7,220,5.9
